
These predictions were generated by HydroDyn on 11-Aug-2020 at 18:02:35.

    Time            Wave1Elev            Wave2Elev            Wave3Elev            Wave4Elev            Wave5Elev            Wave6Elev            Wave7Elev            Wave8Elev            Wave9Elev
   (sec)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)
    0.0000           2.7434E+00           2.0787E+00           1.1039E+00          -3.5608E-02          -1.1698E+00          -2.1295E+00          -2.7715E+00          -3.0000E+00          -2.7809E+00
    0.0000           2.7434E+00           2.0787E+00           1.1039E+00          -3.5607E-02          -1.1698E+00          -2.1295E+00          -2.7715E+00          -3.0000E+00          -2.7809E+00
    0.0125           2.7512E+00           2.0944E+00           1.1250E+00          -1.2122E-02          -1.1475E+00          -2.1116E+00          -2.7608E+00          -2.9980E+00          -2.7880E+00
    0.0250           2.7590E+00           2.1100E+00           1.1462E+00           1.1363E-02          -1.1252E+00          -2.0938E+00          -2.7501E+00          -2.9961E+00          -2.7951E+00
    0.0375           2.7668E+00           2.1256E+00           1.1673E+00           3.4849E-02          -1.1028E+00          -2.0760E+00          -2.7394E+00          -2.9941E+00          -2.8022E+00
    0.0376           2.7669E+00           2.1257E+00           1.1674E+00           3.4959E-02          -1.1027E+00          -2.0759E+00          -2.7393E+00          -2.9941E+00          -2.8022E+00
    0.0500           2.7746E+00           2.1413E+00           1.1885E+00           5.8334E-02          -1.0805E+00          -2.0581E+00          -2.7287E+00          -2.9922E+00          -2.8093E+00
    0.0625           2.7825E+00           2.1569E+00           1.2096E+00           8.1820E-02          -1.0582E+00          -2.0403E+00          -2.7180E+00          -2.9903E+00          -2.8164E+00
    0.0750           2.7903E+00           2.1726E+00           1.2307E+00           1.0531E-01          -1.0358E+00          -2.0225E+00          -2.7073E+00          -2.9883E+00          -2.8235E+00
    0.0753           2.7904E+00           2.1729E+00           1.2312E+00           1.0582E-01          -1.0354E+00          -2.0221E+00          -2.7071E+00          -2.9883E+00          -2.8236E+00
    0.0875           2.7981E+00           2.1882E+00           1.2519E+00           1.2879E-01          -1.0135E+00          -2.0046E+00          -2.6966E+00          -2.9864E+00          -2.8306E+00
    0.1000           2.8059E+00           2.2038E+00           1.2730E+00           1.5228E-01          -9.9119E-01          -1.9868E+00          -2.6860E+00          -2.9844E+00          -2.8376E+00
    0.1125           2.8137E+00           2.2195E+00           1.2942E+00           1.7576E-01          -9.6886E-01          -1.9689E+00          -2.6753E+00          -2.9825E+00          -2.8447E+00
    0.1250           2.8215E+00           2.2351E+00           1.3153E+00           1.9925E-01          -9.4653E-01          -1.9511E+00          -2.6646E+00          -2.9805E+00          -2.8518E+00
    0.1375           2.8293E+00           2.2508E+00           1.3364E+00           2.2273E-01          -9.2420E-01          -1.9333E+00          -2.6539E+00          -2.9786E+00          -2.8589E+00
    0.1500           2.8371E+00           2.2664E+00           1.3576E+00           2.4622E-01          -9.0187E-01          -1.9154E+00          -2.6432E+00          -2.9766E+00          -2.8660E+00
    0.1625           2.8449E+00           2.2820E+00           1.3787E+00           2.6970E-01          -8.7955E-01          -1.8976E+00          -2.6325E+00          -2.9747E+00          -2.8731E+00
