N_SN,sigma_SN,N_H1,sigma_H1,N_H2,sigma_H2
107.52782102389733,2329.8375935819067,107.52782102389733,2353.2756980852155,106.86216523692005,1840.301380161968
126.68300650625324,2329.1898781922423,126.68300650625324,2353.0576007431946,126.68300650625324,1842.3350539244395
149.2505286970961,2329.1898781922423,149.2505286970961,2350.659863618197,149.2505286970961,1842.3350539244395
175.83826695226972,2329.1898781922423,175.83826695226972,2353.0576007431946,175.83826695226972,1842.3350539244395
207.16238927051288,2329.1898781922423,207.16238927051288,2353.0576007431946,207.16238927051288,1842.3350539244395
244.066643013019,2329.1898781922423,244.066643013019,2353.0576007431946,244.066643013019,1842.3350539244395
287.54508210397114,2329.4057633118164,287.54508210397114,2353.0576007431946,287.54508210397114,1842.3350539244395
338.7688428925086,2328.542342873169,338.7688428925086,2353.0576007431946,338.7688428925086,1842.3350539244395
399.1176899114291,2326.8164619867316,399.1176899114291,2353.0576007431946,399.1176899114291,1842.3350539244395
470.2171812499893,2326.8164619867316,470.2171812499893,2353.0576007431946,470.2171812499893,1842.3350539244395
553.9824546282375,2326.8164619867316,553.9824546282375,2353.0576007431946,553.9824546282375,1842.3350539244395
652.6698135957015,2331.133564773314,652.6698135957015,2353.0576007431946,652.6698135957015,1842.3350539244395
768.9375033816019,2329.6216684410856,768.9375033816019,2352.6214666958813,768.9375033816019,1842.3350539244395
905.9173134564364,2327.0321271219873,905.9173134564364,2353.0576007431946,905.9173134564364,1842.3350539244395
1067.298935493387,2326.8164619867316,1067.298935493387,2353.2756980852155,1062.0099257586915,1839.6760861375228
1257.42934899775,2325.3073655849607,1257.42934899775,2352.2580834071837,1257.42934899775,1842.3350539244395
1481.4299116582442,2325.3073655849607,1481.4299116582442,2348.2645697582175,1481.4299116582442,1842.3350539244395
1745.3343083689074,2330.9175195242206,1745.3343083689074,2350.659863618197,1745.3343083689074,1842.3350539244395
2056.2510747199663,2331.5657153469697,2056.2510747199663,2350.659863618197,2056.2510747199663,1841.8228685383715
2422.5550726945994,2327.4635173622755,2422.5550726945994,2346.959074750041,2422.5550726945994,1836.7088397124842
2854.1130761658515,2325.0918602974893,2854.1130761658515,2348.2645697582175,2854.1130761658515,1836.7088397124842
3362.549542570426,2325.5228908469244,3362.549542570426,2346.3065994376784,3362.549542570426,1836.7088397124842
3961.5597295920043,2326.8164619867316,3961.5597295920043,2345.8717166736005,3961.5597295920043,1836.538616854052
4667.2785909730155,2327.0321271219873,4667.2785909730155,2345.8717166736005,4667.2785909730155,1833.1374706905297
5498.715388042006,2328.1107526749447,5498.715388042006,2343.0469427758276,5498.715388042006,1831.6090105641438
6478.265723663705,2325.5228908469244,6478.265723663705,2336.324662384319,6478.265723663705,1829.2339386419333
7632.314790771539,2326.8164619867316,7632.314790771539,2336.5412088040953,7632.314790771539,1826.8619465072793
8991.94808460035,2326.3851916767308,8991.94808460035,2326.8164619867316,8991.94808460035,1824.8163901216456
10593.788722382407,2322.076882558189,10593.788722382407,2326.8164619867316,10541.291104501714,1815.814554857618
12480.983924571301,2329.6216684410856,12480.983924571301,2323.799247933335,12480.983924571301,1813.2041328680555
14704.367229477413,2331.5657153469697,14704.367229477413,2318.349469067999,14704.367229477413,1810.9480354300251
17323.827746757994,2331.5657153469697,17323.827746757994,2310.912582291137,17323.827746757994,1808.4991823510961
20409.923332009217,2331.5657153469697,20409.923332009217,2307.203089811113,20409.923332009217,1803.9792026178131
24045.78113497174,2331.5657153469697,24045.78113497174,2287.6843669269174,24045.78113497174,1795.6109417604187
28329.336714565907,2331.5657153469697,28329.336714565907,2274.9979769310107,28329.336714565907,1787.6735800339402
