num_bin,Torque_min_Nm,Torque_Max_Nm,load_cycles,percentage,time_s,time_h
1,25502,25578,0,0,0,0
2,25424,25501,0,0,0,0
3,25347,25423,14,0.37,24,0.00667
4,25269,25346,8,0.21,14,0.00389
5,25192,25268,5,0.13,9,0.0025
6,25114,25191,8,0.21,14,0.00389
7,25029,25113,16,0.42,28,0.00778
8,24936,25028,8,0.21,14,0.00389
9,24835,24935,5,0.13,9,0.0025
10,24727,24834,11,0.29,19,0.00528
11,24610,24726,16,0.42,28,0.00778
12,24479,24609,19,0.5,33,0.00917
13,24331,24478,14,0.37,24,0.00667
14,24168,24330,14,0.37,24,0.00667
15,23990,24168,11,0.29,19,0.00528
16,23796,23989,15,0.39,26,0.00722
17,23579,23796,31,0.81,52,0.0144
18,23339,23579,28,0.73,47,0.0131
19,23076,23338,36,0.94,62,0.0172
20,22789,23075,52,1.36,88,0.0244
21,22479,22788,39,1.02,66,0.0183
22,22138,22478,96,2.5,163,0.0453
23,21766,22137,106,2.76,180,0.05
24,21363,21765,49,1.28,83,0.0231
25,20929,21362,117,3.05,200,0.0556
26,20463,20928,124,3.23,212,0.0589
27,19960,20463,61,1.59,104,0.0289
28,19417,19959,140,3.65,238,0.0661
29,18836,19416,148,3.86,253,0.0703
30,18216,18835,117,3.05,200,0.0556
31,17557,18215,121,3.16,206,0.0572
32,16851,17556,174,4.54,297,0.0825
33,16100,16851,185,4.82,316,0.0878
34,15301,16099,196,5.11,334,0.0928
35,14456,15301,207,5.4,352,0.0978
36,13565,14456,161,4.2,274,0.0761
37,12620,13564,168,4.38,286,0.0794
38,11620,12619,237,6.18,404,0.112
39,10565,11619,252,6.57,429,0.119
40,9457,10565,263,6.86,449,0.125
41,8294,9456,275,7.17,468,0.13
42,7070,8294,178,4.64,303,0.0842
43,5783,7069,103,2.69,176,0.0489
44,4434,5782,7,0.18,12,0.00333
45,3024,4434,0,0,0,0
46,1551,3023,0,0,0,0
47,1,1550,0,0,0,0
48,0,0,0,0,6041469,1680
